2026 05 24 20 35 26 2.19e-14 1.52e-14 1.42e-22 4.77e-14 8.94e-14 8.63e-15 0.46
2026 05 24 20 35 26 8.45e-14 1.94e-14 8.28e-15 4.74e-14 1.33e-13 1.31e-15 0.61
2026 05 24 20 37 02 6.32e-14 2.32e-14 9.81e-16 3.32e-14 1.34e-13 1.63e-15 0.56
2026 05 24 20 38 39 1.73e-14 4.78e-15 2.21e-21 4.25e-14 1.05e-13 3.79e-15 0.45
2026 05 24 20 40 14 1.49e-14 1.37e-14 6.19e-21 6.14e-14 1.17e-13 7.64e-16 0.50
2026 05 24 20 41 50 2.49e-14 1.04e-14 2.01e-21 2.75e-14 6.81e-14 5.86e-15 0.39
2026 05 24 20 43 28 3.25e-14 6.65e-16 5.77e-22 3.10e-14 5.92e-14 9.23e-15 0.38
2026 05 24 20 45 07 5.41e-22 1.07e-21 5.77e-22 3.10e-14 5.92e-14 9.23e-15 0.34
2026 05 24 20 45 07 5.41e-22 1.07e-21 1.06e-21 2.72e-14 7.46e-14 9.67e-15 0.34
2026 05 24 20 48 24 6.87e-14 9.25e-16 1.15e-14 1.52e-14 1.21e-13 3.89e-15 0.62
2026 05 24 20 48 24 1.25e-13 3.13e-14 2.10e-16 6.10e-14 7.89e-14 4.27e-15 0.62
2026 05 24 20 51 41 2.78e-14 9.50e-15 6.22e-22 3.19e-14 8.30e-14 3.44e-15 0.42
2026 05 24 20 53 20 7.65e-15 6.63e-15 7.02e-21 3.27e-14 6.84e-14 1.08e-14 0.37
2026 05 24 20 55 00 4.45e-14 6.83e-22 2.82e-16 8.57e-14 1.27e-14 3.38e-14 0.45
2026 05 24 21 01 24 5.30e-15 2.97e-23 2.34e-20 1.06e-13 1.67e-13 7.43e-16 0.59
2026 05 24 21 03 05 3.94e-22 8.26e-21 3.35e-20 1.07e-13 1.60e-13 1.28e-23 0.58
2026 05 24 21 04 44 7.02e-22 2.39e-24 1.40e-20 5.64e-14 1.42e-13 3.95e-18 0.48
2026 05 24 21 06 24 7.02e-22 2.39e-24 1.40e-20 5.64e-14 1.42e-13 3.95e-18 0.48
2026 05 24 21 06 24 1.35e-14 9.05e-24 1.37e-20 6.25e-14 1.47e-13 4.50e-15 0.53
